Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,HoursMinutes,Time_weather,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 01:00:32.933000,VER,1,0 days 00:01:39.991000,2.0,1.0,,,0 days 00:00:26.845000,0 days 00:00:39.996000,0 days 00:00:33.150000,0 days 00:59:19.787000,0 days 00:59:59.783000,0 days 01:00:32.933000,215.0,174.0,199.0,306.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 00:58:52.942000,2024-10-20 19:05:30.540,1,2.0,False,,False,True,1:00,0 days 01:00:46.631000,28.1,37.0,1006.6,False,47.2,0,1.8
0 days 01:09:34.646000,VER,1,0 days 00:01:39.779000,6.0,1.0,,,0 days 00:00:27.069000,0 days 00:00:39.822000,0 days 00:00:32.888000,0 days 01:08:21.936000,0 days 01:09:01.758000,0 days 01:09:34.646000,209.0,177.0,201.0,302.0,True,MEDIUM,6.0,True,Red Bull Racing,0 days 01:07:54.867000,2024-10-20 19:14:32.465,1,2.0,False,,False,True,1:09,0 days 01:09:46.630000,28.1,33.0,1006.5,False,47.4,352,1.8
0 days 01:11:14.377000,VER,1,0 days 00:01:39.731000,7.0,1.0,,,0 days 00:00:26.838000,0 days 00:00:39.793000,0 days 00:00:33.100000,0 days 01:10:01.484000,0 days 01:10:41.277000,0 days 01:11:14.377000,214.0,178.0,200.0,305.0,True,MEDIUM,7.0,True,Red Bull Racing,0 days 01:09:34.646000,2024-10-20 19:16:12.244,1,2.0,False,,False,True,1:11,0 days 01:11:46.633000,28.1,34.0,1006.5,False,47.2,304,1.6
0 days 01:12:54.459000,VER,1,0 days 00:01:40.082000,8.0,1.0,,,0 days 00:00:26.809000,0 days 00:00:39.973000,0 days 00:00:33.300000,0 days 01:11:41.186000,0 days 01:12:21.159000,0 days 01:12:54.459000,211.0,179.0,199.0,306.0,False,MEDIUM,8.0,True,Red Bull Racing,0 days 01:11:14.377000,2024-10-20 19:17:51.975,1,2.0,False,,False,True,1:12,0 days 01:12:46.640000,28.0,35.0,1006.4,False,46.9,317,2.8
0 days 01:14:34.491000,VER,1,0 days 00:01:40.032000,9.0,1.0,,,0 days 00:00:26.901000,0 days 00:00:39.932000,0 days 00:00:33.199000,0 days 01:13:21.360000,0 days 01:14:01.292000,0 days 01:14:34.491000,213.0,176.0,199.0,308.0,False,MEDIUM,9.0,True,Red Bull Racing,0 days 01:12:54.459000,2024-10-20 19:19:32.057,1,2.0,False,,False,True,1:14,0 days 01:14:46.681000,28.1,37.0,1006.4,False,46.7,339,2.0
0 days 01:16:14.461000,VER,1,0 days 00:01:39.970000,10.0,1.0,,,0 days 00:00:26.919000,0 days 00:00:39.916000,0 days 00:00:33.135000,0 days 01:15:01.410000,0 days 01:15:41.326000,0 days 01:16:14.461000,214.0,177.0,199.0,309.0,False,MEDIUM,10.0,True,Red Bull Racing,0 days 01:14:34.491000,2024-10-20 19:21:12.089,12,2.0,False,,False,True,1:16,0 days 01:16:46.683000,28.2,37.0,1006.5,False,47.0,4,1.8
0 days 01:17:54.707000,VER,1,0 days 00:01:40.246000,11.0,1.0,,,0 days 00:00:26.971000,0 days 00:00:40.034000,0 days 00:00:33.241000,0 days 01:16:41.432000,0 days 01:17:21.466000,0 days 01:17:54.707000,212.0,177.0,199.0,305.0,False,MEDIUM,11.0,True,Red Bull Racing,0 days 01:16:14.461000,2024-10-20 19:22:52.059,1,2.0,False,,False,True,1:17,0 days 01:17:46.686000,28.2,36.0,1006.4,False,47.0,335,0.7
0 days 01:19:34.889000,VER,1,0 days 00:01:40.182000,12.0,1.0,,,0 days 00:00:26.876000,0 days 00:00:40.067000,0 days 00:00:33.239000,0 days 01:18:21.583000,0 days 01:19:01.650000,0 days 01:19:34.889000,216.0,178.0,199.0,304.0,False,MEDIUM,12.0,True,Red Bull Racing,0 days 01:17:54.707000,2024-10-20 19:24:32.305,1,2.0,False,,False,True,1:19,0 days 01:19:46.717000,28.1,36.0,1006.4,False,47.1,306,1.9
0 days 01:21:14.825000,VER,1,0 days 00:01:39.936000,13.0,1.0,,,0 days 00:00:26.778000,0 days 00:00:39.941000,0 days 00:00:33.217000,0 days 01:20:01.667000,0 days 01:20:41.608000,0 days 01:21:14.825000,217.0,178.0,199.0,304.0,False,MEDIUM,13.0,True,Red Bull Racing,0 days 01:19:34.889000,2024-10-20 19:26:12.487,1,2.0,False,,False,True,1:21,0 days 01:21:46.717000,28.1,35.0,1006.4,False,47.4,289,1.6
0 days 01:22:54.671000,VER,1,0 days 00:01:39.846000,14.0,1.0,,,0 days 00:00:26.852000,0 days 00:00:40.132000,0 days 00:00:32.862000,0 days 01:21:41.677000,0 days 01:22:21.809000,0 days 01:22:54.671000,216.0,177.0,199.0,304.0,False,MEDIUM,14.0,True,Red Bull Racing,0 days 01:21:14.825000,2024-10-20 19:27:52.423,1,2.0,False,,False,True,1:22,0 days 01:22:46.718000,28.3,35.0,1006.2,False,47.8,4,0.9
