Driver,DriverNumber,FormattedLapTime,LapNumber,Stint,TyreLife,Compound,Team,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
GAS,10,1:53:143,2.0,1.0,2.0,MEDIUM,Red Bull Racing,20.3,48.1,1013.9,False,42.4,221,0.6
GAS,10,1:48:425,3.0,1.0,3.0,MEDIUM,Red Bull Racing,20.3,49.5,1013.8,False,41.8,208,1.1
GAS,10,1:48:557,4.0,1.0,4.0,MEDIUM,Red Bull Racing,20.0,49.6,1013.9,False,41.8,218,1.7
GAS,10,1:52:738,5.0,1.0,5.0,MEDIUM,Red Bull Racing,20.1,50.8,1014.0,False,41.5,218,1.6
GAS,10,1:52:123,6.0,1.0,6.0,MEDIUM,Red Bull Racing,20.1,51.1,1013.9,False,41.3,104,1.4
GAS,10,1:49:110,7.0,1.0,7.0,MEDIUM,Red Bull Racing,20.1,51.3,1014.0,False,41.5,244,0.8
GAS,10,1:49:011,8.0,1.0,8.0,MEDIUM,Red Bull Racing,20.2,51.7,1014.0,False,41.3,219,0.9
GAS,10,1:51:938,9.0,1.0,9.0,MEDIUM,Red Bull Racing,20.0,53.3,1013.9,False,41.3,231,1.4
GAS,10,1:51:634,10.0,1.0,10.0,MEDIUM,Red Bull Racing,19.9,52.7,1013.9,False,41.1,206,0.8
GAS,10,1:48:110,11.0,1.0,11.0,MEDIUM,Red Bull Racing,19.8,52.1,1013.9,False,41.1,201,0.9
GAS,10,1:47:882,12.0,1.0,12.0,MEDIUM,Red Bull Racing,19.8,53.1,1013.8,False,41.0,19,1.4
GAS,10,1:47:546,13.0,1.0,13.0,MEDIUM,Red Bull Racing,19.5,55.0,1013.9,False,40.3,199,1.1
GAS,10,1:47:482,14.0,1.0,14.0,MEDIUM,Red Bull Racing,19.4,53.7,1013.8,False,40.2,1,0.8
GAS,10,1:48:019,15.0,1.0,15.0,MEDIUM,Red Bull Racing,19.2,53.9,1013.8,False,40.1,14,1.2
GAS,10,1:47:579,16.0,1.0,16.0,MEDIUM,Red Bull Racing,18.9,54.4,1013.7,False,39.8,226,1.0
GAS,10,1:49:216,17.0,1.0,17.0,MEDIUM,Red Bull Racing,18.7,55.3,1013.8,False,39.9,209,1.1
GAS,10,1:47:570,18.0,1.0,18.0,MEDIUM,Red Bull Racing,18.8,55.7,1013.8,False,39.5,2,1.4
GAS,10,1:47:389,19.0,1.0,19.0,MEDIUM,Red Bull Racing,18.8,56.3,1013.8,False,39.1,186,1.2
GAS,10,1:47:019,20.0,1.0,20.0,MEDIUM,Red Bull Racing,18.6,57.4,1013.7,False,38.9,132,1.2
GAS,10,1:46:848,21.0,1.0,21.0,MEDIUM,Red Bull Racing,18.8,57.5,1013.8,False,39.0,237,1.5
GAS,10,1:46:964,22.0,1.0,22.0,MEDIUM,Red Bull Racing,18.8,56.8,1013.8,False,39.1,240,1.8
GAS,10,1:47:098,23.0,1.0,23.0,MEDIUM,Red Bull Racing,18.7,56.9,1013.8,False,38.6,199,1.6
GAS,10,1:46:779,24.0,1.0,24.0,MEDIUM,Red Bull Racing,19.0,56.2,1013.7,False,38.7,173,1.5
GAS,10,1:46:505,25.0,1.0,25.0,MEDIUM,Red Bull Racing,18.9,53.3,1013.8,False,38.6,210,1.7
GAS,10,1:47:105,26.0,1.0,26.0,MEDIUM,Red Bull Racing,19.4,52.4,1013.8,False,38.5,207,1.9
GAS,10,1:46:142,27.0,1.0,27.0,MEDIUM,Red Bull Racing,19.5,52.2,1013.7,False,38.5,194,1.8
GAS,10,1:46:150,28.0,1.0,28.0,MEDIUM,Red Bull Racing,19.7,51.6,1013.7,False,38.4,256,1.7
GAS,10,1:46:510,29.0,1.0,29.0,MEDIUM,Red Bull Racing,19.7,52.3,1013.7,False,38.1,222,1.5
GAS,10,1:47:133,30.0,1.0,30.0,MEDIUM,Red Bull Racing,19.3,53.3,1013.7,False,37.9,202,1.7
GAS,10,1:46:447,31.0,1.0,31.0,MEDIUM,Red Bull Racing,19.4,52.6,1013.7,False,37.9,214,1.2
GAS,10,1:46:039,32.0,1.0,32.0,MEDIUM,Red Bull Racing,19.7,52.7,1013.7,False,37.7,212,1.8
GAS,10,1:45:932,33.0,1.0,33.0,MEDIUM,Red Bull Racing,19.5,52.9,1013.7,False,37.5,0,1.5
GAS,10,1:45:712,34.0,1.0,34.0,MEDIUM,Red Bull Racing,19.7,52.2,1013.6,False,37.6,179,1.2
GAS,10,1:47:474,35.0,1.0,35.0,MEDIUM,Red Bull Racing,19.6,52.5,1013.6,False,37.4,171,1.4
GAS,10,1:47:991,36.0,1.0,36.0,MEDIUM,Red Bull Racing,19.5,52.6,1013.7,False,37.5,207,1.5
GAS,10,1:46:204,37.0,1.0,37.0,MEDIUM,Red Bull Racing,19.4,52.6,1013.7,False,37.4,236,1.1
GAS,10,1:46:383,38.0,1.0,38.0,MEDIUM,Red Bull Racing,19.6,52.9,1013.6,False,37.3,255,1.7
PER,11,1:50:157,2.0,1.0,5.0,SOFT,Racing Point,20.3,48.1,1013.9,False,42.4,221,0.6
PER,11,1:49:689,3.0,1.0,6.0,SOFT,Racing Point,20.3,49.5,1013.8,False,41.8,208,1.1
PER,11,1:49:423,4.0,1.0,7.0,SOFT,Racing Point,20.0,49.6,1013.9,False,41.8,218,1.7
PER,11,1:49:778,5.0,1.0,8.0,SOFT,Racing Point,20.1,50.4,1013.8,False,41.7,260,0.8
PER,11,1:52:568,6.0,1.0,9.0,SOFT,Racing Point,20.1,51.1,1013.9,False,41.3,104,1.4
