Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,HoursMinutes,Time_weather,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 01:00:00.512000,VER,1,0 days 00:01:49.632000,2.0,1.0,,,0 days 00:00:39.449000,0 days 00:00:44.481000,0 days 00:00:25.702000,0 days 00:58:50.309000,0 days 00:59:34.790000,0 days 01:00:00.492000,194.0,209.0,323.0,319.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 00:58:10.880000,2024-09-15 11:06:06.655,1,5.0,False,,False,True,1:00,0 days 01:00:26.198000,26.7,40.0,1017.4,False,45.7,0,2.4
0 days 01:01:49.642000,VER,1,0 days 00:01:49.130000,3.0,1.0,,,0 days 00:00:39.118000,0 days 00:00:44.415000,0 days 00:00:25.597000,0 days 01:00:39.610000,0 days 01:01:24.025000,0 days 01:01:49.622000,191.0,206.0,318.0,321.0,True,MEDIUM,3.0,True,Red Bull Racing,0 days 01:00:00.512000,2024-09-15 11:07:56.287,1,5.0,False,,False,True,1:01,0 days 01:01:26.193000,26.9,37.0,1017.7,False,45.7,65,1.0
0 days 01:03:39.250000,VER,1,0 days 00:01:49.608000,4.0,1.0,,,0 days 00:00:39.046000,0 days 00:00:44.387000,0 days 00:00:26.175000,0 days 01:02:28.668000,0 days 01:03:13.055000,0 days 01:03:39.230000,200.0,210.0,317.0,321.0,False,MEDIUM,4.0,True,Red Bull Racing,0 days 01:01:49.642000,2024-09-15 11:09:45.417,1,5.0,False,,False,True,1:03,0 days 01:03:26.202000,26.8,37.0,1017.5,False,44.9,116,1.5
0 days 01:05:28.495000,VER,1,0 days 00:01:49.245000,5.0,1.0,,,0 days 00:00:39.312000,0 days 00:00:44.211000,0 days 00:00:25.722000,0 days 01:04:18.542000,0 days 01:05:02.753000,0 days 01:05:28.475000,199.0,205.0,320.0,320.0,False,MEDIUM,5.0,True,Red Bull Racing,0 days 01:03:39.250000,2024-09-15 11:11:35.025,1,5.0,False,,False,True,1:05,0 days 01:05:26.257000,26.4,39.0,1017.6,False,44.5,87,1.7
0 days 01:07:17.290000,VER,1,0 days 00:01:48.795000,6.0,1.0,,,0 days 00:00:38.883000,0 days 00:00:44.254000,0 days 00:00:25.658000,0 days 01:06:07.358000,0 days 01:06:51.612000,0 days 01:07:17.270000,,211.0,320.0,318.0,True,MEDIUM,6.0,True,Red Bull Racing,0 days 01:05:28.495000,2024-09-15 11:13:24.270,1,5.0,False,,False,True,1:07,0 days 01:07:26.203000,26.5,39.0,1017.7,False,44.9,82,2.4
0 days 01:09:06.087000,VER,1,0 days 00:01:48.797000,7.0,1.0,,,0 days 00:00:38.936000,0 days 00:00:44.131000,0 days 00:00:25.730000,0 days 01:07:56.206000,0 days 01:08:40.337000,0 days 01:09:06.067000,197.0,214.0,319.0,319.0,False,MEDIUM,7.0,True,Red Bull Racing,0 days 01:07:17.290000,2024-09-15 11:15:13.065,1,5.0,False,,False,True,1:09,0 days 01:09:26.209000,26.2,40.0,1017.6,False,44.7,0,1.8
0 days 01:10:54.730000,VER,1,0 days 00:01:48.643000,8.0,1.0,,,0 days 00:00:38.880000,0 days 00:00:44.103000,0 days 00:00:25.660000,0 days 01:09:44.947000,0 days 01:10:29.050000,0 days 01:10:54.710000,201.0,215.0,320.0,318.0,True,MEDIUM,8.0,True,Red Bull Racing,0 days 01:09:06.087000,2024-09-15 11:17:01.862,1,5.0,False,,False,True,1:10,0 days 01:10:26.218000,26.3,40.0,1017.7,False,44.7,97,0.9
0 days 01:12:43.178000,VER,1,0 days 00:01:48.448000,9.0,1.0,,,0 days 00:00:38.680000,0 days 00:00:44.085000,0 days 00:00:25.683000,0 days 01:11:33.390000,0 days 01:12:17.475000,0 days 01:12:43.158000,207.0,209.0,319.0,318.0,True,MEDIUM,9.0,True,Red Bull Racing,0 days 01:10:54.730000,2024-09-15 11:18:50.505,1,5.0,False,,False,True,1:12,0 days 01:12:26.213000,26.5,40.0,1017.7,False,44.7,104,0.9
0 days 01:14:32.626000,VER,1,0 days 00:01:49.448000,10.0,1.0,,,0 days 00:00:38.989000,0 days 00:00:44.635000,0 days 00:00:25.824000,0 days 01:13:22.147000,0 days 01:14:06.782000,0 days 01:14:32.606000,200.0,208.0,318.0,317.0,False,MEDIUM,10.0,True,Red Bull Racing,0 days 01:12:43.178000,2024-09-15 11:20:38.953,1,5.0,False,,False,True,1:14,0 days 01:14:26.295000,26.8,37.0,1017.6,False,44.7,61,2.2
0 days 01:16:22.271000,VER,1,0 days 00:01:49.645000,11.0,1.0,,,0 days 00:00:39.235000,0 days 00:00:44.447000,0 days 00:00:25.963000,0 days 01:15:11.841000,0 days 01:15:56.288000,0 days 01:16:22.251000,198.0,213.0,314.0,318.0,False,MEDIUM,11.0,True,Red Bull Racing,0 days 01:14:32.626000,2024-09-15 11:22:28.401,1,5.0,False,,False,True,1:16,0 days 01:16:26.256000,26.8,36.0,1017.8,False,44.7,59,1.1
0 days 01:22:11.537000,VER,1,0 days 00:01:48.269000,14.0,2.0,,,0 days 00:00:38.439000,0 days 00:00:44.264000,0 days 00:00:25.566000,0 days 01:21:01.687000,0 days 01:21:45.951000,0 days 01:22:11.517000,194.0,197.0,340.0,322.0,True,HARD,2.0,True,Red Bull Racing,0 days 01:20:23.268000,2024-09-15 11:28:19.043,1,8.0,False,,False,True,1:22,0 days 01:22:26.258000,26.8,37.0,1017.6,False,44.1,137,2.9
0 days 01:23:59.349000,VER,1,0 days 00:01:47.812000,15.0,2.0,,,0 days 00:00:38.535000,0 days 00:00:43.701000,0 days 00:00:25.576000,0 days 01:22:50.052000,0 days 01:23:33.753000,0 days 01:23:59.329000,196.0,214.0,341.0,322.0,True,HARD,3.0,True,Red Bull Racing,0 days 01:22:11.537000,2024-09-15 11:30:07.312,1,7.0,False,,False,True,1:23,0 days 01:23:26.256000,26.5,37.0,1017.6,False,44.1,60,2.3
0 days 01:25:47.481000,VER,1,0 days 00:01:48.132000,16.0,2.0,,,0 days 00:00:38.592000,0 days 00:00:43.793000,0 days 00:00:25.747000,0 days 01:24:37.921000,0 days 01:25:21.714000,0 days 01:25:47.461000,197.0,215.0,320.0,315.0,False,HARD,4.0,True,Red Bull Racing,0 days 01:23:59.349000,2024-09-15 11:31:55.124,1,7.0,False,,False,True,1:25,0 days 01:25:26.258000,26.5,36.0,1017.6,False,44.0,291,1.5
0 days 01:27:35.199000,VER,1,0 days 00:01:47.718000,17.0,2.0,,,0 days 00:00:38.533000,0 days 00:00:43.611000,0 days 00:00:25.574000,0 days 01:26:25.994000,0 days 01:27:09.605000,0 days 01:27:35.179000,198.0,214.0,321.0,319.0,True,HARD,5.0,True,Red Bull Racing,0 days 01:25:47.481000,2024-09-15 11:33:43.256,1,7.0,False,,False,True,1:27,0 days 01:27:26.262000,26.5,36.0,1017.6,False,43.8,146,1.2
0 days 01:29:23.660000,VER,1,0 days 00:01:48.461000,18.0,2.0,,,0 days 00:00:38.920000,0 days 00:00:43.974000,0 days 00:00:25.567000,0 days 01:28:14.099000,0 days 01:28:58.073000,0 days 01:29:23.640000,195.0,204.0,325.0,321.0,False,HARD,6.0,True,Red Bull Racing,0 days 01:27:35.199000,2024-09-15 11:35:30.974,1,7.0,False,,False,True,1:29,0 days 01:29:26.279000,26.4,36.0,1017.6,False,44.0,194,1.7
0 days 01:31:11.550000,VER,1,0 days 00:01:47.890000,19.0,2.0,,,0 days 00:00:38.710000,0 days 00:00:43.742000,0 days 00:00:25.438000,0 days 01:30:02.350000,0 days 01:30:46.092000,0 days 01:31:11.530000,188.0,212.0,325.0,322.0,False,HARD,7.0,True,Red Bull Racing,0 days 01:29:23.660000,2024-09-15 11:37:19.435,1,7.0,False,,False,True,1:31,0 days 01:31:26.287000,26.5,36.0,1017.6,False,43.9,266,1.2
0 days 01:32:59.440000,VER,1,0 days 00:01:47.890000,20.0,2.0,,,0 days 00:00:38.650000,0 days 00:00:44.008000,0 days 00:00:25.232000,0 days 01:31:50.180000,0 days 01:32:34.188000,0 days 01:32:59.420000,191.0,208.0,344.0,321.0,False,HARD,8.0,True,Red Bull Racing,0 days 01:31:11.550000,2024-09-15 11:39:07.325,1,7.0,False,,False,True,1:32,0 days 01:32:26.355000,26.6,36.0,1017.6,False,44.1,6,0.9
0 days 01:34:47.343000,VER,1,0 days 00:01:47.903000,21.0,2.0,,,0 days 00:00:38.580000,0 days 00:00:44.121000,0 days 00:00:25.202000,0 days 01:33:38,0 days 01:34:22.121000,0 days 01:34:47.323000,189.0,202.0,347.0,323.0,False,HARD,9.0,True,Red Bull Racing,0 days 01:32:59.440000,2024-09-15 11:40:55.215,1,7.0,False,,False,True,1:34,0 days 01:34:26.320000,27.1,35.0,1017.5,False,44.4,78,1.9
0 days 01:36:36.022000,VER,1,0 days 00:01:48.679000,22.0,2.0,,,0 days 00:00:39.023000,0 days 00:00:44.433000,0 days 00:00:25.223000,0 days 01:35:26.346000,0 days 01:36:10.779000,0 days 01:36:36.002000,188.0,210.0,345.0,322.0,False,HARD,10.0,True,Red Bull Racing,0 days 01:34:47.343000,2024-09-15 11:42:43.118,1,7.0,False,,False,True,1:36,0 days 01:36:26.359000,27.0,36.0,1017.6,False,43.4,75,1.7
