Driver,DriverNumber,FormattedLapTime,LapNumber,Stint,TyreLife,Compound,Team,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,track
GAS,10,1:24:591,2.0,1.0,5.0,SOFT,Red Bull Racing,19.8,59.0,1007.0,False,42.0,5,1.6,Spain
GAS,10,1:23:795,3.0,1.0,6.0,SOFT,Red Bull Racing,19.8,58.1,1007.1,False,41.8,28,3.0,Spain
GAS,10,1:23:635,4.0,1.0,7.0,SOFT,Red Bull Racing,19.8,57.5,1007.1,False,41.8,178,1.5,Spain
GAS,10,1:23:402,5.0,1.0,8.0,SOFT,Red Bull Racing,19.5,60.5,1007.0,False,41.3,12,2.7,Spain
GAS,10,1:23:408,6.0,1.0,9.0,SOFT,Red Bull Racing,19.7,59.6,1007.0,False,41.3,355,2.5,Spain
GAS,10,1:23:114,7.0,1.0,10.0,SOFT,Red Bull Racing,19.8,59.4,1006.9,False,41.2,21,2.0,Spain
GAS,10,1:22:874,8.0,1.0,11.0,SOFT,Red Bull Racing,20.0,58.3,1007.0,False,41.2,346,2.6,Spain
GAS,10,1:23:840,9.0,1.0,12.0,SOFT,Red Bull Racing,20.2,57.8,1007.0,False,41.6,63,2.2,Spain
GAS,10,1:23:436,10.0,1.0,13.0,SOFT,Red Bull Racing,19.9,59.4,1006.9,False,41.2,26,1.9,Spain
GAS,10,1:23:206,11.0,1.0,14.0,SOFT,Red Bull Racing,20.2,58.7,1006.9,False,41.3,27,2.4,Spain
GAS,10,1:23:257,12.0,1.0,15.0,SOFT,Red Bull Racing,20.3,58.9,1006.9,False,41.4,33,3.7,Spain
GAS,10,1:23:138,13.0,1.0,16.0,SOFT,Red Bull Racing,20.3,57.3,1006.8,False,41.1,27,2.9,Spain
GAS,10,1:23:565,14.0,1.0,17.0,SOFT,Red Bull Racing,20.2,57.4,1006.9,False,40.9,11,2.9,Spain
GAS,10,1:23:636,15.0,1.0,18.0,SOFT,Red Bull Racing,20.1,57.4,1006.9,False,40.9,24,2.0,Spain
GAS,10,1:23:423,16.0,1.0,19.0,SOFT,Red Bull Racing,20.3,55.9,1006.9,False,41.0,44,2.9,Spain
GAS,10,1:23:683,17.0,1.0,20.0,SOFT,Red Bull Racing,20.1,56.9,1006.9,False,40.9,65,2.0,Spain
GAS,10,1:23:928,18.0,1.0,21.0,SOFT,Red Bull Racing,20.2,57.2,1006.8,False,40.9,39,2.3,Spain
GAS,10,1:23:729,19.0,1.0,22.0,SOFT,Red Bull Racing,20.3,56.1,1006.8,False,40.6,3,3.1,Spain
GAS,10,1:23:786,20.0,1.0,23.0,SOFT,Red Bull Racing,20.5,56.4,1006.9,False,40.7,28,2.0,Spain
GAS,10,1:24:138,21.0,1.0,24.0,SOFT,Red Bull Racing,20.8,55.2,1006.9,False,41.2,281,2.0,Spain
GAS,10,1:22:897,24.0,2.0,2.0,MEDIUM,Red Bull Racing,20.5,54.6,1006.9,False,40.4,10,1.9,Spain
GAS,10,1:23:644,25.0,2.0,3.0,MEDIUM,Red Bull Racing,20.3,54.6,1006.8,False,40.4,18,1.3,Spain
GAS,10,1:22:819,26.0,2.0,4.0,MEDIUM,Red Bull Racing,20.5,54.5,1006.8,False,40.6,286,2.3,Spain
GAS,10,1:22:767,27.0,2.0,5.0,MEDIUM,Red Bull Racing,20.9,52.4,1006.7,False,41.0,36,2.0,Spain
GAS,10,1:22:692,28.0,2.0,6.0,MEDIUM,Red Bull Racing,20.8,51.4,1006.6,False,40.7,35,2.6,Spain
GAS,10,1:22:819,29.0,2.0,7.0,MEDIUM,Red Bull Racing,20.5,52.3,1006.8,False,40.4,17,3.4,Spain
GAS,10,1:22:944,30.0,2.0,8.0,MEDIUM,Red Bull Racing,20.8,52.5,1006.8,False,40.6,71,1.2,Spain
GAS,10,1:23:292,31.0,2.0,9.0,MEDIUM,Red Bull Racing,20.8,52.4,1006.8,False,40.6,346,1.8,Spain
GAS,10,1:22:686,32.0,2.0,10.0,MEDIUM,Red Bull Racing,20.8,52.9,1006.7,False,40.6,280,1.5,Spain
GAS,10,1:23:212,33.0,2.0,11.0,MEDIUM,Red Bull Racing,20.9,52.6,1006.7,False,40.5,73,0.9,Spain
GAS,10,1:22:716,34.0,2.0,12.0,MEDIUM,Red Bull Racing,20.7,51.9,1006.6,False,40.5,194,1.2,Spain
GAS,10,1:22:387,35.0,2.0,13.0,MEDIUM,Red Bull Racing,20.6,51.8,1006.6,False,40.6,224,1.9,Spain
GAS,10,1:22:524,36.0,2.0,14.0,MEDIUM,Red Bull Racing,20.4,54.1,1006.7,False,40.6,32,1.8,Spain
GAS,10,1:22:385,37.0,2.0,15.0,MEDIUM,Red Bull Racing,20.3,51.5,1006.6,False,40.5,0,1.6,Spain
GAS,10,1:22:723,38.0,2.0,16.0,MEDIUM,Red Bull Racing,20.3,53.5,1006.5,False,40.1,24,2.4,Spain
GAS,10,1:22:755,39.0,2.0,17.0,MEDIUM,Red Bull Racing,20.4,52.6,1006.6,False,40.3,303,1.9,Spain
GAS,10,1:22:510,40.0,2.0,18.0,MEDIUM,Red Bull Racing,20.3,53.1,1006.6,False,40.1,92,2.5,Spain
GAS,10,1:23:605,41.0,2.0,19.0,MEDIUM,Red Bull Racing,20.3,53.0,1006.6,False,40.2,38,2.3,Spain
GAS,10,1:22:589,42.0,2.0,20.0,MEDIUM,Red Bull Racing,20.3,52.0,1006.5,False,39.8,321,2.0,Spain
GAS,10,1:22:441,43.0,2.0,21.0,MEDIUM,Red Bull Racing,20.1,53.0,1006.7,False,39.7,275,2.5,Spain
GAS,10,1:22:258,44.0,2.0,22.0,MEDIUM,Red Bull Racing,20.1,52.5,1006.4,False,39.8,288,2.5,Spain
GAS,10,1:22:469,45.0,2.0,23.0,MEDIUM,Red Bull Racing,20.1,52.6,1006.6,False,39.9,48,1.4,Spain
GAS,10,1:23:998,53.0,3.0,10.0,SOFT,Red Bull Racing,20.0,48.0,1006.5,False,39.8,347,1.7,Spain
GAS,10,1:21:280,54.0,3.0,11.0,SOFT,Red Bull Racing,19.9,50.0,1006.5,False,39.2,310,1.5,Spain
GAS,10,1:21:195,55.0,3.0,12.0,SOFT,Red Bull Racing,19.8,50.6,1006.5,False,39.2,347,1.6,Spain
GAS,10,1:20:587,56.0,3.0,13.0,SOFT,Red Bull Racing,19.9,49.8,1006.6,False,39.2,299,2.2,Spain
GAS,10,1:20:536,57.0,3.0,14.0,SOFT,Red Bull Racing,19.8,50.5,1006.4,False,39.0,37,3.0,Spain
GAS,10,1:20:665,58.0,3.0,15.0,SOFT,Red Bull Racing,19.9,50.3,1006.5,False,39.2,318,1.3,Spain
GAS,10,1:20:621,59.0,3.0,16.0,SOFT,Red Bull Racing,20.1,49.6,1006.5,False,39.2,270,2.6,Spain
GAS,10,1:20:843,60.0,3.0,17.0,SOFT,Red Bull Racing,20.3,50.7,1006.5,False,39.1,12,1.0,Spain
GAS,10,1:20:649,61.0,3.0,18.0,SOFT,Red Bull Racing,20.3,50.1,1006.4,False,39.2,318,3.0,Spain
GAS,10,1:20:756,62.0,3.0,19.0,SOFT,Red Bull Racing,20.1,51.3,1006.4,False,39.2,314,2.0,Spain
GAS,10,1:20:853,63.0,3.0,20.0,SOFT,Red Bull Racing,20.2,51.4,1006.4,False,39.1,70,1.8,Spain
GAS,10,1:20:754,64.0,3.0,21.0,SOFT,Red Bull Racing,20.4,50.8,1006.4,False,39.1,221,2.1,Spain
GAS,10,1:20:752,65.0,3.0,22.0,SOFT,Red Bull Racing,20.4,50.6,1006.5,False,39.0,10,1.6,Spain
GAS,10,1:20:830,66.0,3.0,23.0,SOFT,Red Bull Racing,20.0,50.0,1006.4,False,38.8,18,1.7,Spain
PER,11,1:26:549,2.0,1.0,2.0,SOFT,Racing Point,19.8,59.0,1007.0,False,42.0,5,1.6,Spain
PER,11,1:25:829,3.0,1.0,3.0,SOFT,Racing Point,19.8,58.1,1007.1,False,41.8,28,3.0,Spain
PER,11,1:25:141,4.0,1.0,4.0,SOFT,Racing Point,19.8,58.4,1007.0,False,41.8,328,2.2,Spain
PER,11,1:24:826,5.0,1.0,5.0,SOFT,Racing Point,19.5,60.5,1007.0,False,41.3,12,2.7,Spain
PER,11,1:24:721,6.0,1.0,6.0,SOFT,Racing Point,19.7,59.6,1007.0,False,41.3,355,2.5,Spain
PER,11,1:24:712,7.0,1.0,7.0,SOFT,Racing Point,19.8,59.4,1006.9,False,41.2,21,2.0,Spain
PER,11,1:24:785,8.0,1.0,8.0,SOFT,Racing Point,20.0,58.3,1007.0,False,41.2,346,2.6,Spain
PER,11,1:24:701,9.0,1.0,9.0,SOFT,Racing Point,19.9,59.5,1006.9,False,41.4,31,2.6,Spain
PER,11,1:24:337,10.0,1.0,10.0,SOFT,Racing Point,19.9,59.4,1006.9,False,41.2,26,1.9,Spain
PER,11,1:24:215,11.0,1.0,11.0,SOFT,Racing Point,20.2,58.7,1006.9,False,41.3,27,2.4,Spain
PER,11,1:24:193,12.0,1.0,12.0,SOFT,Racing Point,20.4,57.1,1007.0,False,41.4,41,1.9,Spain
PER,11,1:23:920,13.0,1.0,13.0,SOFT,Racing Point,20.3,57.3,1006.8,False,41.1,27,2.9,Spain
PER,11,1:24:576,14.0,1.0,14.0,SOFT,Racing Point,20.2,57.8,1006.9,False,40.9,0,2.5,Spain
PER,11,1:24:200,15.0,1.0,15.0,SOFT,Racing Point,20.1,57.4,1006.9,False,40.9,24,2.0,Spain
PER,11,1:24:191,16.0,1.0,16.0,SOFT,Racing Point,20.3,55.9,1006.9,False,41.0,44,2.9,Spain
PER,11,1:24:917,17.0,1.0,17.0,SOFT,Racing Point,20.0,57.0,1006.9,False,40.6,58,2.8,Spain
PER,11,1:24:419,18.0,1.0,18.0,SOFT,Racing Point,20.2,57.2,1006.8,False,40.9,39,2.3,Spain
PER,11,1:24:499,19.0,1.0,19.0,SOFT,Racing Point,20.3,56.1,1006.8,False,40.6,26,2.6,Spain
PER,11,1:24:560,20.0,1.0,20.0,SOFT,Racing Point,20.5,56.4,1006.9,False,40.7,28,2.0,Spain
PER,11,1:24:309,21.0,1.0,21.0,SOFT,Racing Point,20.8,55.2,1006.9,False,41.2,281,2.0,Spain
PER,11,1:24:352,22.0,1.0,22.0,SOFT,Racing Point,21.1,54.7,1006.7,False,41.1,53,2.0,Spain
PER,11,1:24:240,23.0,1.0,23.0,SOFT,Racing Point,21.2,53.7,1006.8,False,41.0,41,2.5,Spain
PER,11,1:22:979,26.0,2.0,2.0,MEDIUM,Racing Point,20.8,53.5,1006.7,False,41.0,49,1.2,Spain
PER,11,1:23:347,27.0,2.0,3.0,MEDIUM,Racing Point,20.9,52.4,1006.7,False,41.0,36,2.0,Spain
PER,11,1:23:653,28.0,2.0,4.0,MEDIUM,Racing Point,20.5,52.3,1006.8,False,40.4,17,3.4,Spain
PER,11,1:23:507,29.0,2.0,5.0,MEDIUM,Racing Point,20.5,53.2,1006.8,False,40.4,16,1.7,Spain
PER,11,1:23:858,30.0,2.0,6.0,MEDIUM,Racing Point,20.8,52.5,1006.8,False,40.6,71,1.2,Spain
PER,11,1:23:649,31.0,2.0,7.0,MEDIUM,Racing Point,20.8,52.5,1006.7,False,40.6,13,2.0,Spain
PER,11,1:23:267,32.0,2.0,8.0,MEDIUM,Racing Point,20.8,52.9,1006.7,False,40.6,280,1.5,Spain
PER,11,1:23:907,33.0,2.0,9.0,MEDIUM,Racing Point,20.7,51.9,1006.6,False,40.5,194,1.2,Spain
PER,11,1:23:420,34.0,2.0,10.0,MEDIUM,Racing Point,20.7,52.4,1006.6,False,40.6,265,1.5,Spain
PER,11,1:23:469,35.0,2.0,11.0,MEDIUM,Racing Point,20.6,51.8,1006.6,False,40.6,224,1.9,Spain
PER,11,1:23:489,36.0,2.0,12.0,MEDIUM,Racing Point,20.5,52.5,1006.6,False,40.6,15,1.7,Spain
PER,11,1:24:895,37.0,2.0,13.0,MEDIUM,Racing Point,20.3,51.5,1006.6,False,40.5,0,1.6,Spain
PER,11,1:23:586,38.0,2.0,14.0,MEDIUM,Racing Point,20.4,52.6,1006.6,False,40.3,303,1.9,Spain
