Driver,DriverNumber,FormattedLapTime,LapNumber,Stint,TyreLife,Compound,Team,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
GAS,10,1:44:253,2.0,1.0,5.0,SOFT,Toro Rosso,21.4,23.9,1002.0,False,28.9,171,2.5
GAS,10,1:43:246,3.0,1.0,6.0,SOFT,Toro Rosso,21.5,24.7,1002.0,False,28.9,151,3.0
GAS,10,1:42:794,4.0,1.0,7.0,SOFT,Toro Rosso,21.1,24.8,1001.8,False,29.0,268,1.6
GAS,10,1:42:481,5.0,1.0,8.0,SOFT,Toro Rosso,21.2,25.0,1001.7,False,29.0,54,1.4
GAS,10,1:42:402,6.0,1.0,9.0,SOFT,Toro Rosso,21.4,24.9,1001.7,False,29.1,154,0.7
GAS,10,1:43:118,7.0,1.0,10.0,SOFT,Toro Rosso,21.8,23.9,1001.8,False,29.5,0,2.6
GAS,10,1:43:406,8.0,1.0,11.0,SOFT,Toro Rosso,21.7,23.2,1001.7,False,29.3,125,2.9
GAS,10,1:43:190,9.0,1.0,12.0,SOFT,Toro Rosso,21.5,23.2,1001.7,False,29.3,150,3.0
GAS,10,1:43:390,10.0,1.0,13.0,SOFT,Toro Rosso,21.4,24.3,1001.6,False,29.1,181,1.9
GAS,10,1:43:658,11.0,1.0,14.0,SOFT,Toro Rosso,21.2,24.6,1001.6,False,29.1,111,2.0
GAS,10,1:43:363,12.0,1.0,15.0,SOFT,Toro Rosso,21.4,25.5,1001.5,False,29.3,359,2.5
GAS,10,1:43:042,13.0,1.0,16.0,SOFT,Toro Rosso,21.6,25.1,1001.5,False,29.4,149,1.9
GAS,10,1:42:958,14.0,1.0,17.0,SOFT,Toro Rosso,21.7,25.2,1001.5,False,29.4,188,2.3
GAS,10,1:43:024,15.0,1.0,18.0,SOFT,Toro Rosso,21.8,26.1,1001.5,False,29.4,337,2.8
GAS,10,1:43:061,16.0,1.0,19.0,SOFT,Toro Rosso,21.8,27.1,1001.5,False,29.3,156,1.9
GAS,10,1:43:213,17.0,1.0,20.0,SOFT,Toro Rosso,21.5,28.0,1001.4,False,29.1,199,1.2
GAS,10,1:43:566,18.0,1.0,21.0,SOFT,Toro Rosso,21.7,28.4,1001.2,False,29.3,157,2.3
GAS,10,1:41:569,21.0,2.0,2.0,HARD,Toro Rosso,21.9,29.3,1001.3,False,29.2,153,2.5
GAS,10,1:41:466,22.0,2.0,3.0,HARD,Toro Rosso,21.8,29.7,1001.2,False,29.3,238,2.3
GAS,10,1:41:440,23.0,2.0,4.0,HARD,Toro Rosso,21.8,30.8,1001.4,False,29.3,252,1.9
GAS,10,1:41:722,24.0,2.0,5.0,HARD,Toro Rosso,22.0,30.2,1001.2,False,29.3,214,1.7
GAS,10,1:41:128,25.0,2.0,6.0,HARD,Toro Rosso,21.6,30.6,1001.4,False,29.0,211,3.3
GAS,10,1:41:589,26.0,2.0,7.0,HARD,Toro Rosso,21.4,31.1,1001.3,False,29.1,286,2.9
GAS,10,1:41:487,27.0,2.0,8.0,HARD,Toro Rosso,21.4,31.5,1001.3,False,29.1,244,2.4
GAS,10,1:42:536,28.0,2.0,9.0,HARD,Toro Rosso,21.4,32.1,1001.3,False,29.1,198,3.4
GAS,10,1:41:134,29.0,2.0,10.0,HARD,Toro Rosso,21.2,32.4,1001.2,False,29.0,208,4.0
GAS,10,1:41:250,30.0,2.0,11.0,HARD,Toro Rosso,21.4,31.9,1001.1,False,29.0,232,2.6
